0,1,2,3,4,5,6,7,8,9,10
,,Evening,Cloudy,"Aojiru +1 Knowledge
Leftover Curry Ingredients +1 Guts
Medicated Bath +3 Charm","Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Kawakami - Temp",Takemi - Death,"Healing items in Kanda
Chunky Katsu in Kichijoji
",N/A,Mission failed...,"Buy some Aojiru

Advance Sun to Rank 6"
,7/18,MONDAY,Cloudy,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Cloudy,Leftover Curry Ingredients +1 Guts,,,,N/A,Stuck in Leblanc tonight,Time to Train (Use Protein)
,7/19,TUESDAY,Clear,"Exam Results Posted +2-3 Charm
 Depending on how well you do.","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",,Weekly Restock,Mementos Available,,Advance Lovers to Rank 8
,,After School,,,,,,,,
,,Evening,Clear,Crossword +1 Knowledge,"Sojiro - Hierophant
Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune","Ohya - Devil
Hifumi - Star",Street Accessories Available,N/A,"Exam Reward from Sojiro 
 - x1 Dandy Mirror","Grab your Exam Reward from Sojiro
Crossword Time

Hang out with Akechi"
,7/20,WEDNESDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,N/A,,Time to Train (Use Protein)
,7/21,THURSDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,,,,,N/A,,Time to Train (Use Protein)
,7/22,FRIDAY,Clear,Restricted,Restricted,,Restricted,Restricted,Restricted,Restricted
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,N/A,,Time to TRAIN (Use more Protein)
,7/23,SATURDAY,Cloudy,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Cloudy,,,,,N/A,,More Pullups (Use Protein)
,7/24,SUNDAY,Cloudy,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,Ginza Unlocked
,,Daytime,,,,,,,,
,,Evening,Cloudy,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,"Feed your plant the good stuff
then schleep time"
,7/25,MONDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,N/A,Stuck in Leblanc tonight,Watch The Running Dead
,7/26,TUESDAY,"Clear

Heat
Wave",,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess",,"Weekly Restock
New Items Available in stores
Retro Game Gambla Goemon
at Secondhand Shop","New Palace Available
Mementos Available

26 Days until Deadline",Trader Sakai wants MRE Ration until 7/30,"Go trade with Trader Sakai 
Stock up for a Palace Run if needed

Infiltrate the Palace"
,,Daytime,,,,,,,,
,,Evening,Cloudy,,"Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune
Ohya - Devil",,Street Accessories Available,N/A,,"Call Kawakami for a ""Massage""
...It's just a massage a nothing more

Advance Moon to Rank 6"
,7/27,WEDNESDAY,"Torrential
Rain","Read w/ Yusuke +3 Charm
Double Points at 777 +Charm","Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",,Rainy Day Items Available,"Palace & Mementos
Available

25 Days until Deadline",,"Deliver the Calling Card
and steal some Treasure"
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain","Crossword +1 Knowledge
Leftover Curry Ingredients +1 Guts","Iwai - Hanged Man
Kawakami - Temp
Hifumi - Star","Hang w/ Yusuke

Chariot Rank 7 
Event Available",,N/A,,"Have Kawakami restore your vitality... She's 
basically a better version of the Great Fairy from 
The Legend of Zelda then it's Crossword Time

Advance Star to Rank 2"
,7/28,THURSDAY,Clear,Read w/ Ryuji +3 Guts,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Kasumi - Faith
Yusuke - Emperor",Makoto - Priestess,,"Palace & Mementos
Available

24 Days until Deadline",,"(Optional) Throw Arsene in Lockdown

Max the Faith Arcana Confidant"
,,Daytime,,,,,,,,
,,Evening,Clear,Movie w/ Makoto - Shinjuku +3 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",Hang w/ Ryuji,Street Accessories Available,N/A,Leftovers in the fridge,"Purchase Mega Fertilizer

Get your fortune read in Shinjuku"
,7/29,FRIDAY,Cloudy,,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor 
Makoto - Priestess",Hang w/ Akechi,,"Palace & Mementos
Available

23 Days until Deadline",,"Summon a Lovers Arcana Persona

Advance Lovers to Rank 9"
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain",Leftover Curry Ingredients +1 Guts,"Iwai - Hanged Man
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil
Hifumi - Star","Chariot Rank 7 
Event Available",Rainy Day Items Available,N/A,,"Summon a Devil Arcana Persona

Advance Devil to Rank 2"
,7/30,SATURDAY,"Clear 

Heat
Wave",,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Mishima - Moon",Hang w/ Makoto,,"Palace & Mementos
Available

22 Days until Deadline",Trader Sakai wants MRE Ration until 7/30,"Buy Gambla Goemon in Yongen

Take Ryuji out for ramen at Ogikubo"
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune",Hifumi - Star,,N/A,,Check in on Mishima
,7/31,SUNDAY,"Clear 

Heat
Wave",Aojiru +1 Charm,"Takemi - Death
Ann - Lovers
Kasumi - Faith
Yusuke - Emperor
Makoto - Priestess",,"Healing items in Kanda
No TV Shopping ","Palace & Mementos
Available

21 Days until Deadline",,"Buy some Aojiru

Take Ann to Harajuku"
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night","Aojiru +1 Charm
Medicated Bath +3 Charm
Leftover Curry Ingredients +1 Guts","Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Hifumi - Star",,"Healing items in Kanda
Chunky Katsu in Kichijoji",N/A,"Following the Recommended Actions? If so, 
your social stats should look like this today.
Knowledge Rank 4  / Guts Rank 4
Proficiency Rank 3  / Kindness Rank 3
Charm Rank 4","(Optional) Throw Arsene back in Lockdown

Advance Sun to Rank 7"
