0,1,2,3,4,5,6,7,8,9,10
,11/27,SUNDAY,Clear,Aojiru +1 Kindness,"Takemi - Death
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess
Futaba - Hermit",Haru - Empress,"TV Shopping:
Yaki-Imo Set - 9,800 yen
Special Sweets Set - 4,800yen
Potent Healing items for sale
at the Church in Kanda","Palace & Mementos
Available

21 Days until Deadline","Trader Sakai wants Legendary Yaki-Imo
until 12/3","Buy the Yaki-Imo Set

Advance Empresss to Rank 6"
,,Daytime,,,,,,,,
,,Evening,Clear,"Aojiru +1 Kindness
Medicated Bath +3 Charm
Leftover Curry Ingredients +1 Guts","Iwai - Hanged Man
Mishima - Moon
Chihaya - Fortune",,"TV Shopping:
Yaki-Imo Set - 9,800 yen
Special Sweets Set - 4,800yen

Chunky Katsu in Kichijoji",N/A,,Take the Twins to the Aquarium
,11/28,MONDAY,Cloudy,,"Takemi - Death
Yusuke - Emperor
Makoto - Priestess
Futaba - Hermit
Haru - Empress",,"Weekly Restock
","Palace & Mementos
Available

20 Days until Deadline",,Advance Empresss to Rank 7
,,After School,,,,,,,,
,,Evening,Clear,"Crossword +1 Knowledge
Leftover Curry Ingredients +1 Guts","Sojiro - Hierophant
Ohya - Devil
Hifumi - Star",,TV Shopping Delivery,N/A,,"Make a Deal with Trader Sakai

Take the Twins to the Skytree"
,11/29,TUESDAY,Clear,,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Makoto - Priestess
Futaba - Hermit","Shinya - Tower 
Haru - Empress",,"Palace & Mementos
Available

19 Days until Deadline",,"Pick up Haru's harvest and plant
Star Onions

Advance Empresss to Rank 8"
,,After School,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",,,N/A,,Try the Maid Cafe In Akihabara 
,11/30,WEDNESDAY,Clear,,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Kasumi - Faith
Futaba - Hermit",Haru - Empress,,"Palace & Mementos
Available

18 Days until Deadline",,"Summon a Hermit Arcana Persona

Advance Hermit to Rank 9"
,,After School,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Kawakami - Temp
Chihaya - Fortune
Hifumi - Star",,,N/A,Persona 4 reference on the TV tonight,Take the Twins to the Maid Cafe
