0,1,2,3,4,5,6,7,8,9,10
,,Evening,Cloudy,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Kawakami - Temp
Chihaya - Fortune","Ohya - Devil
Hifumi - Star",,N/A,Singer at the Jazz Club Tonight,"Summon a Devil Arcana Persona
Send a Calling Postcard to Ohya

Advance Devil to Rank 5"
,9/6,TUESDAY,Clear,Class Question +1 Knowledge,"Takemi - Death
Maruki - Councillor
Shinya - Tower",,,Mementos Available,Trader Sakai wants Phantom Wafers until 9/6,"Buy the games Train of Life, Featherman
Seeker, and Power Intuition

Investigate the Arcade in Akihabara"
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/7,WEDNESDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,School Trip,School Trip
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/8,THURSDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,School Trip,School Trip
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/9,FRIDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,School Trip,School Trip
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/10,SATURDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,School Trip,School Trip
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/11,SUNDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,School Trip,School Trip
,,Daytime,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/12,MONDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,"Feed your plant, it missed you too"
,9/13,TUESDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/14,WEDNESDAY,Clear,Class Question +1 Knowledge,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Rain,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/15,THURSDAY,Cloudy,Restricted,Restricted,,Restricted,Restricted,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Cloudy,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/16,FRIDAY,Cloudy,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/17,SATURDAY,Clear,Class Question +1 Knowledge,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,After School,,,,,,,,
,,Evening,Clear,SLEEP,SLEEP,,SLEEP,N/A,SLEEP,SLEEP
,9/18,SUNDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,N/A,,Fix that Laptop you bought
,9/19,MONDAY,Clear,,"Takemi - Death
Yusuke - Emperor
Shinya - Tower ",,Weekly Restock,"New Palace Available
Mementos Available
New Request Available

22 Days until Deadline","Respect for the Aged Day
Trader Sakai wants a Thief Mask until 9/24
Network Fusion Unlocked","Stock up for a Palace Run
Buy a Calling Postcard
Go to Chihaya for a Money Reading

Infiltrate the Palace"
,,Daytime,,,,,,,,
,,Evening,Clear,"Crossword +1 Knowledge
Leftover Curry Ingredients +1 Guts","Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Kawakami - Temp
Mishima - Moon","Chihaya - Fortune
Ohya - Devil
Hifumi - Star
Takemi - Death",,N/A,,"Call Kawakami for a Massage
Buy some Mega Nutrients
Crossword Time

Advance Star to Rank 4"
,9/20,TUESDAY,Clear,,"Takemi - Death
Ryuji - Chariot
Maruki - Councillor
Makoto - Priestess",,,"Palace & Mementos
Available

21 Days until Deadline","Next Midterm is 10/17 Level 4 
 Knowledge needed.

Maruki no longer locked at Rank 5","Make a deal with Trader Sakai

Send the Calling Card"
,,After School,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp","Chihaya - Fortune
Ohya - Devil",,N/A,Leftovers in the Fridge,Make a few Lockpicks and anything else
,9/21,WEDNESDAY,Cloudy,Class Question +1 Knowledge,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Futaba - Hermit",,,"Palace & Mementos
Available

20 Days until Deadline",,Steal the treasure
,,After School,,,,,,,,
,,Evening,Cloudy,Leftover Curry Ingredients +1 Guts,"Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune
Hifumi - Star",,,N/A,,"Call Kawakami for a Massage

Advance Star to Rank 5"
,9/22,THURSDAY,Clear,,"Takemi - Death
Yusuke - Emperor
Makoto - Priestess
Futaba - Hermit
Shinya - Tower ","Mishima - Moon
Hifumi - Star",,"Palace & Mementos
Available

19 Days until Deadline","Autumnal Equinox Day
Big Burger Burger-kun Toy at Akihabara
Arcade",Advance Tower to Rank 2
,,Daytime,,,,,,,,
,,Evening,Clear,TV Quiz +1 Knowledge,"Sojiro - Hierophant
Mishima - Moon
Yoshida - Sun
Kawakami - Temp
Chihaya - Fortune","Ohya - Devil
Takemi - Death",,N/A,,"Summon a Devil Arcana Persona
Send a Calling Postcard to Ohya

Advance Devil to Rank 6"
,9/23,FRIDAY,Clear,"Can Slack off in another teachers 
class (Temperance Rank 5)

","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor",,Yakisoba Pan at School Store,"Palace & Mementos
Available

18 Days until Deadline",,"Read The Illusory Popess and exchange
for The Gallant Rogue

Advance Councillor to Rank 6"
,,After School,,,,,,,,
,,Evening,Cloudy,,"Mishima - Moon
Kawakami - Temp
Ohya - Devil
Takemi - Death",,Street Accessories Vendor,N/A,,Advance Devil to Rank 7
,9/24,SATURDAY,Cloudy,"Can Read a book on the Train
Class Question +1 Knowledge
Call in at Rafflesia +Kindness","Takemi - Death
Ryuji - Chariot
Maruki - Councillor
Makoto - Priestess
Futaba - Hermit",Shinya - Tower ,,"Palace & Mementos
Available

17 Days until Deadline","Trader Sakai wants a Thief Mask until 9/24
""Maid Day"" at the Maid Cafe","Read The Gallant Rouge and exchange
for Cry of Cthulhu

Advance Tower to Rank 3"
,,After School,,,,,,,,
,,Evening,Cloudy,,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune",Hifumi - Star,,N/A,,Advance Star to Rank 6
,9/25,SUNDAY,Cloudy,"Games w/ Futaba +3 Guts

Aojiru +1 Charm","Takemi - Death
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess
Futaba - Hermit",Shinya - Tower ,"TV Shopping:
Phantom Thief Set 2-8,980yen
Thief Fun Set - 2,000yen
Potent Healing items for sale
at the Church in Kanda","Palace & Mementos
Available

16 Days until Deadline",,"Buy the Thief Fun Set and some Aojiru
Summon a Emperor Arcana Persona

Advance Emperor to Rank 6"
,,Daytime,,,,,,,,
,,Evening,Cloudy,"Aojiru +1 Charm
Medicated Bath +3 Charm
Call in at Crossroads +Kindness
Leftover Curry Ingredients +1 Guts","Iwai - Hanged Man
Yoshida - Sun
Chihaya - Fortune",Hang w/ Futaba,"TV Shopping:
Phantom Thief Set 2-8,980yen
Thief Fun Set - 2,000yen

Chunky Katsu in Kichijoji",N/A,,"Summon a Hanged Man Arcana Persona

Advance Hanged Man to Rank 7"
,9/26,MONDAY,Cloudy,,"Takemi - Death
Maruki - Councillor
Yusuke - Emperor
Futaba - Hermit
Shinya - Tower ",,Weekly Restock,"Palace & Mementos
Available

15 Days until Deadline",,"Buy a Calling Postcard

Advance Tower to Rank 4"
,,After School,,,,,,,,
,,Evening,Rain,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Ohya - Devil","Hifumi - Star
Takemi - Death",TV Shopping Delivery,N/A,,Practice Shogi with Hifumi
,9/27,TUESDAY,Clear,Double Points day at 777 +Charm,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Maruki - Councillor
Makoto - Priestess",,,"Palace & Mementos
Available

14 Days until Deadline",,"Summon a Priestess Arcana Persona

Advance Priestess to Rank 8"
,,After School,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil","
",Street Accessories Vendor,N/A,,Go see what Ohya needs
,9/28,WEDNESDAY,Clear,"Can Read a book on the Train
Class Question +1 Knowledge
 ","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Kasumi - Faith
Makoto - Priestess","Futaba - Hermit
Shinya - Tower ","Totem-Pole (+Proficiency)
now available at the Diner
in Shibuya
","Palace & Mementos
Available

13 Days until Deadline",,"Read Cry of Cthulhu and exchange it
for Woman in the Dark

Advance Hermit to Rank 4"
,,After School,,,,,,,,
,,Evening,Clear,"Crossword +1 Knowledge
Leftover Curry Ingredients +1 Guts","Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice","Chihaya - Fortune
Hifumi - Star",,N/A,,"Crossword Time

Advance Star to Rank 7"
,9/29,THURSDAY,Clear,"Class Question +1 Knowledge
 ","Takemi - Death
Ryuji - Chariot
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor","Makoto - Priestess
Futaba - Hermit
Shinya - Tower ",,"Palace & Mementos
Available

12 Days until Deadline",,Advance Priestess to Rank 9
,,After School,,,,,,,,
,,Evening,Clear,TV Quiz +1 Knowledge,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",Takemi - Death,,N/A,,Advance Fortune to Rank 5
,9/30,FRIDAY,Clear,"Can Slack off in another teachers 
class (Temperance Rank 5)","Takemi - Death
Ann - Lovers
Maruki - Councillor
Yusuke - Emperor
Futaba - Hermit",Shinya - Tower ,Yakisoba Pan at School Store,"Palace & Mementos
Available

11 Days until Deadline",,"Read Ghost Encounters
Summon a Emperor Arcana Persona

Advance Emperor to Rank 7"
,,After School,,,,,,,,
,,Evening,Cloudy,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil",,Street Accessories Vendor,N/A,"Singer at the Jazz Club Tonight
Following the Recommended Actions? If so, 
your social stats should look like this today.
Knowledge Rank MAX  / Guts Rank 4
Proficiency Rank 4  / Kindness Rank 4
Charm Rank MAX","Feed that Plant <3
Get a Luck Reading from Chihaya
to increase Guts

Finish a level in Power Intuition"
