0,Date,Time,Weather,Social Stats Opportunities,Confidants Available,Confidants Available 2,Stores & Sales,Metaverse,Extra,Recommended Actions
,,Evening,"Torrential
Rain","Crossword +1 Knowledge
Leftover Curry Ingredients +1 Guts","Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Ohya - Devil
Hifumi - Star","Takemi - Death

Hang w/ Yusuke",TV Delivery,N/A,,"Crossword Time

Take the Big Bang Challenge"
,8/9,TUESDAY,"Clear

Heat
Wave",,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",,,"Palace & Mementos
Available

12 Days until Deadline",,"Feed your plant MEGA Fertilizer

Head into Mementos
(Optional) Lock up Arsene during an Alarm"
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Akechi - Justice
Chihaya - Fortune","Ohya - Devil
Hifumi - Star",Street Accessories Available,N/A,,"Call Kawakami for a massage
Buy some Mega Fertilizer

Check in on the Fortune Teller"
,8/10,WEDNESDAY,Clear ,,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Kasumi - Faith",,,"Palace & Mementos
Available
 
11 Days until Deadline",,"Summon a Death Arcana Persona

Advance Death to Rank 8"
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain",Leftover Curry Ingredients +1 Guts,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Ohya - Devil
Hifumi - Star",Takemi - Death,,N/A,,Advance Star to Rank 3
,8/11,THURSDAY,"Torrential
Rain",DVD with Yusuke +3 Charm,"Takemi - Death
Makoto - Priestess
Yusuke - Emperor",,,"Palace & Mementos
Available

10 Days until Deadline",,"Head to Pengin Sniper and Play Darts
with Morgana"
,,Daytime,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",,Street Accessories Available,N/A,,Advance Sun to Rank 9
,8/12,FRIDAY,"Clear

Heat
Wave",,"Takemi - Death
Ann - Lovers
Yusuke - Emperor",,,"Palace & Mementos
Available

9 Days until Deadline",,"Summon an Emperor Arcana Persona

Advance Emperor to Rank 4"
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",Leftover Curry Ingredients +1 Guts,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Chihaya - Fortune
Ohya - Devil","Chariot Rank 7 
Event Available",Street Accessories Available,N/A,,Advance Moon to Rank 7
,8/13,SATURDAY,Cloudy,Games With Ryuji +3 Guts,"Takemi - Death
Yusuke - Emperor
Makoto - Priestess",,,"Palace & Mementos
Available

8 Days until Deadline",Trader Sakai wants Exorcism Water until 8/13,"Head to the Underground Mall and buy 
the Darts set for 100,000 yen

Advance Death to Rank 9"
,,Daytime,,,,,,,,
,,Evening,Clear,,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune","Hifumi - Star
Takemi - Death

Hang w/ Ryuji",,N/A,,Take Iwai to Inokashira Park
,8/14,SUNDAY,Cloudy,Aojiru +1 Guts,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Kasumi - Faith",,"TV Shopping:
Drink Set - 2,980 yen
Floral Gift Set - 2,980 yen
Potent Healing items for sale
at the Church in Kanda","Palace & Mementos
Available

7 Days until Deadline",,"Buy some Aojiru

Head to Pengin Sniper and Play Darts
with Someone"
,,Daytime,,,,,,,,
,,Evening,Cloudy,"Aojiru +1 Guts
Medicated Bath +3 Charm","Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Ohya - Devil","Hifumi - Star
Takemi - Death","TV Shopping:
Drink Set - 2,980 yen
Floral Gift Set - 2,980 yen

Chunky Katsu in Kichijoji",N/A,,Max the Sun Arcana Confidant
,8/15,MONDAY,"Clear

Heat
Wave",,"Takemi - Death
Ann - Lovers
Yusuke - Emperor
Makoto - Priestess",Hang w/ Makoto,Weekly restock,"Palace & Mementos
Available

6 Days until Deadline",,Accept Makotos invite to Book Town
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune
Ohya - Devil",Takemi - Death,"TV Delivery
Street Accessories Available",N/A,,"Buy Master Swordsman in Jinbocho
Buy Learn Pro Darts in Shinjuku

Advance Moon to Rank 8"
,8/16,TUESDAY,"Torrential
Rain",,"Takemi - Death
Ryuji - Chariot
Yusuke - Emperor
Makoto - Priestess",,,"Palace & Mementos
Available

5 Days until Deadline",,"Summon a Priestess Arcana Persona

Advance Priestess to Rank 6"
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",,"Sojiro - Hierophant
Iwai - Hanged Man
Mishima - Moon
Chihaya - Fortune
Ohya - Devil","Hifumi - Star
Takemi - Death",,N/A,Leftovers in the Fridge,Advance Fortune to Rank 2
,8/17,WEDNESDAY,"Clear

Heat
Wave",,"Takemi - Death
Ryuji - Chariot
Ann - Lovers
Yusuke - Emperor
",,,"Palace & Mementos
Available

4 Days until Deadline",,Hang out with Takemi at the Park
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain",Crossword +1 Knowledge,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Akechi -Justice
Ohya - Devil","Hifumi - Star
Takemi - Death

Chariot Rank 7 
Event Available",,N/A,,"Crossword Time

Take the Twins to the Movies"
,8/18,THURSDAY,"Torrential
Rain",,"Takemi - Death
Makoto - Priestess",,,"Palace & Mementos
Available

3 Days until Deadline
Treasure Room Deadline",,Advance Priestess to Rank 7
,,Daytime,,,,,,,,
,,Evening,Clear,,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Chihaya - Fortune","Ohya - Devil
Hifumi - Star
Takemi - Death",Street Accessories Available,N/A,,Advance Moon to Rank 9
,8/19,FRIDAY,Cloudy,,"Takemi - Death
Ann - Lovers
Kasumi - Faith
Yusuke - Emperor",,,"Palace & Mementos
Available

2 Days until Deadline
Calling Card Deadline",,Advance Emperor to Rank 5
,,Daytime,,,,,,,,
,,Evening,Rain,Leftover Curry Ingredients +1 Guts,"Iwai - Hanged Man
Mishima - Moon
Kawakami - Temp
Ohya - Devil",,,N/A,,"Summon a Devil Arcana Persona

Advance Devil to Rank 3"
,8/20,SATURDAY,Clear,,"Takemi - Death
Ryuji - Chariot
Makoto - Priestess",,,"Palace & Mementos
Available

1 Day until Deadline
Plan Execution Deadline",,Max the Death Arcana Confidant
,,Daytime,,,,,,,,
,,Evening,Clear,,"Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Kawakami - Temp
Akechi - Justice","Chihaya - Fortune
Hifumi - Star",,N/A,Ms. Chouno is in Kichijoji tonight,"Summon a Justice Arcana Persona

Advance Justice to Rank 4"
,8/21,SUNDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,,,Finish The Running Dead
,8/22,MONDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot 
Night",Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Chihaya - Fortune
Ohya - Devil
Hifumi - Star",,"Weekly Restock

Street Accessories Available",N/A,"Trader Sakai wants Melon Pan until 8/27
Check your Lotto Ticket from July
Sojiro is no longer locked at Rank 4","Exchange The Running Dead for ICU
Summon Hierophant & Hanged Personas

Advance Hierophant to Rank 5"
,8/23,TUESDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",,"Sojiro - Hierophant
Iwai - Hanged Man
Chihaya - Fortune
Ohya - Devil
Takemi - Death",,Street Accessories Available,N/A,,Advance Hanged Man to Rank 5
,8/24,WEDNESDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",,"Iwai - Hanged Man
Kawakami - Temp
Akechi - Justice
Chihaya - Fortune
Hifumi - Star",Takemi - Death,Street Accessories Available,N/A,,Advance Justice to Rank 5
,8/25,THURSDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night","Crossword +1 Knowledge
","Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Chihaya - Fortune
Ohya - Devil",,Street Accessories Available,N/A,Singer at the Jazz Club Tonight?,"Feed your Plant some Mega Fertilizer then
go out and buy some more Fertilizer
Crossword Time

Advance Fortune to Rank 3"
,8/26,FRIDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain",,"Iwai - Hanged Man
Kawakami - Temp
Ohya - Devil
Takemi - Death",,,N/A,,Take the Twins to the Gym
,8/27,SATURDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Torrential
Rain",,"Iwai - Hanged Man
Kawakami - Temp
Hifumi - Star",,,N/A,Trader Sakai wants Melon Pan until 8/27,"Make a deal with Trader Sakai

Help Iwai around the shop"
,8/28,SUNDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,"Aojiru +1 Kindness
Medicated Bath +3 Charm","Iwai - Hanged Man
Yoshida - Sun
Chihaya - Fortune",,"Potent Healing items for sale
at the Church in Kanda",N/A,,"Buy Aojiru

Advance Hanged To Rank 6"
,8/29,MONDAY,Clear,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,"Sojiro - Hierophant
Iwai - Hanged Man
Ohya - Devil
Chihaya - Fortune
Hifumi - Star",,"Weekly Restock
",New Request,,Advance Hierophant to Rank 6
,8/30,TUESDAY,"Clear

Heat
Wave",CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,"Clear 

Hot
Night",Crossword +1 Knowledge,"Sojiro - Hierophant
Iwai - Hanged Man
Yoshida - Sun
Mishima - Moon
Akechi - Justice","Chihaya - Fortune
Ohya - Devil",,N/A,,"Crossword Time

Max the Moon Arcana Confidant"
,8/31,WEDNESDAY,Clear ,CUTSCENE,CUTSCENE,,CUTSCENE,CUTSCENE,CUTSCENE,CUTSCENE
,,Daytime,,,,,,,,
,,Evening,Clear,Leftover Curry Ingredients +1 Guts,,,,,"Following the Recommended Actions? If so, 
your social stats should look like this today.
Knowledge Rank 4  / Guts Rank 4
Proficiency Rank 4  / Kindness Rank 4
Charm Rank MAX",Watch ICU
